Week,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,,,
27,16,1,6,4,1,1,1,0,202,0,0,2,0,0,0,,,
28,14,0,7,3,0,3,0,0,247,0,2,1,0,0,0,,,
29,26,5,2,6,0,6,0,2,235,0,0,0,0,0,0,,,
30,18,3,1,1,1,2,2,0,213,0,0,0,0,0,0,,,
31,10,0,2,3,0,1,1,0,193,0,3,1,0,0,0,,,
32,17,0,5,2,3,2,1,1,129,0,0,0,0,0,0,,,
33,16,5,2,5,1,2,1,1,188,0,0,0,0,0,0,,,
34,5,2,4,1,0,0,0,1,52,0,0,4,0,0,0,,,
35,10,1,3,7,1,4,0,1,87,0,0,6,0,0,0,,,
36,18,6,3,3,1,3,0,2,72,0,0,0,0,0,0,,,
37,14,6,6,2,2,3,0,4,96,0,0,0,0,0,0,,,
38,19,13,6,4,0,2,0,2,102,1,0,0,0,0,0,,,
39,24,12,4,3,0,2,2,7,184,0,0,1,0,0,0,,,
40,22,17,6,7,2,1,1,3,300,0,0,0,0,0,0,,,
41,32,11,11,3,4,1,0,5,469,0,1,2,4,0,0,,,
42,31,7,6,7,0,0,2,5,615,1,0,0,7,0,0,,,
43,34,14,5,8,2,7,0,4,610,2,0,5,8,1,0,,,
44,71,18,9,4,5,0,1,17,735,0,0,5,13,1,0,,,
45,71,23,18,14,4,5,3,17,607,0,4,4,12,2,0,,,
46,114,30,15,16,13,6,2,18,410,0,0,1,11,2,1,,,
47,130,45,10,20,7,3,0,12,228,1,1,5,19,2,4,,,
48,230,32,14,15,8,15,6,33,175,1,5,4,61,1,28,,,
49,290,91,33,50,29,20,12,46,149,4,3,6,89,3,83,,,
50,914,139,22,94,41,17,1,130,100,1,4,7,169,3,190,,,
51,2481,189,47,130,82,30,9,103,58,1,10,4,232,9,254,,,
52,3658,330,66,242,152,80,22,122,71,5,20,14,182,8,193,,,
53,N/A,N/A,N/A,374,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,115,,,
1,3126,472,134,876,358,143,41,107,49,8,38,17,99,14,314,,,
2,1776,510,156,1009,706,314,40,208,21,18,74,36,40,31,42,,,
3,960,408,181,845,602,503,84,161,30,19,86,63,20,28,15,,,
4,673,365,216,998,637,924,80,288,14,32,174,89,14,27,3,,,
5,911,554,323,786,473,855,119,311,8,56,174,59,6,28,1,,,
6,932,753,616,504,297,828,133,273,11,63,175,72,2,6,0,,,
7,650,578,901,366,199,446,158,489,10,100,297,60,0,30,0,,,
8,438,407,972,185,82,286,127,319,3,137,221,43,5,18,0,,,
9,732,326,779,150,76,272,90,207,1,87,146,76,5,9,0,,,
10,672,314,490,146,38,256,149,279,1,56,110,42,9,8,0,,,
11,598,248,356,136,30,116,176,99,3,66,91,23,8,10,0,,,
12,319,148,235,73,32,126,130,109,2,39,90,11,7,10,0,,,
13,259,101,163,40,14,61,110,28,2,40,53,16,8,3,0,,,
14,163,121,113,46,18,24,56,43,2,15,60,3,23,0,0,,,
15,71,93,94,37,16,12,45,11,1,17,14,3,10,2,0,,,
16,,63,58,31,29,9,44,11,0,47,10,2,15,5,0,,,
17,,53,62,26,24,25,13,5,0,178,16,1,9,3,0,,,
18,,39,35,23,10,3,25,6,2,122,4,5,1,0,0,,,
19,,50,25,10,32,8,10,0,1,80,2,3,1,0,0,,,
20,,39,13,26,15,0,8,4,1,82,3,4,1,0,0,,,
21,,31,10,8,16,3,5,0,1,53,0,2,1,2,0,,,
22,,44,15,11,20,2,2,1,1,74,1,0,0,0,0,,,
23,,29,3,13,4,0,7,0,1,66,0,0,1,0,0,,,
24,,19,3,10,18,5,3,0,0,169,0,0,1,0,0,,,
25,,24,4,11,13,1,6,0,0,231,6,0,0,0,0,,,
26,,21,9,1,7,0,4,0,0,215,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
